X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
110	656	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.505609824605205
106	630	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.494947623890702
112	602	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.534676913022246
138	648	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.64755624052255
148	656	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.694405045583554
134	630	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.634059891980012
156	650	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.73627701876581
168	636	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.800856320931718
154	622	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.736259945586124
164	606	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.79161119413123
174	604	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.84200268397728
148	602	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.713535543422786
186	608	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.90020515353011
192	606	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.93072346222054
206	608	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.999571059308188
192	622	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.925055166564473
220	638	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.058499138997714
232	622	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.123786978120627
248	644	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.195485796215998
228	588	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.11595892523416
240	586	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.176287005658015
278	636	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.34736880271115
360	634	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.755477553358276
402	574	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.9854020642025
420	586	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	19.070580157660718
522	574	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	19.581597498870966
908	524	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	21.51707290431309
956	524	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	21.755551078180478
972	538	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	21.830084044103877
954	550	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	21.736403507161555
1000	540	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	21.968487775236177
1116	544	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	22.543392954835014
1206	534	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	22.99408221562141
1272	530	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	23.323406778603083
1472	478	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	24.335487797266087
1606	524	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	24.984943015968014
2284	456	re17_4	NA	uninfected	4	y	16_00	47	24.8	homemade	25'C	7-10	31_07_20	28.37753747838315
