X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
172	1026	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	17.810040949265073
238	1050	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.08760174726343
260	1046	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.181783919489266
284	1068	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.280876949753427
294	1060	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.324543161548462
294	1046	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.32648205214591
326	1040	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.463499483053585
330	1052	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.478860886551512
344	1054	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.538165486215537
364	1030	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.626605847289856
374	1056	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.6655633247768
438	1038	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.94042913970535
452	1046	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.99890278625618
470	1058	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.073845773789195
472	1046	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.084019334877734
598	1040	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.621084544306715
628	1052	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.74709746101266
640	1054	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.797890405814528
648	1042	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.833598931489533
692	1034	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	20.021963275941207
736	1030	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	20.209773651650753
752	1040	ak9	NA	wMel	2	s	16_00	45	23.8	homemade	25'C	7-10	30_07_20	20.276481968692675
