X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
184	1134	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	17.84243658474596
214	1174	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	17.964990631618672
222	1158	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.000954741568535
242	1166	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.08495556103234
234	1194	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.047514087229768
264	1168	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.1781936352924
274	1184	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.21871668117159
308	1140	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.368609420753074
310	1140	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.37710799362297
326	1174	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.440910712332776
356	1168	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.569127987307553
366	1154	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.613344442818526
468	1170	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.04480184071287
504	1158	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.19925351622369
508	1144	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.21797425312498
530	1166	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.308750054297178
546	1160	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.377477319182695
574	1154	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.497196021287575
592	1166	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.572205813263917
606	1150	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.633665641823463
610	1130	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.653125060651107
634	1168	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.75042961622292
728	1148	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	20.152324814195826
752	1154	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	20.253569006708204
864	1134	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	20.731951360510163
1632	1120	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	23.997126933711233
1638	1146	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.019421697306704
1852	1144	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.929015221694225
1876	1134	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	25.03222923267689
1878	1104	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	25.044421215178566
1858	1094	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.960666623023545
1916	1130	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	25.202693144692354
1968	1082	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	25.429565494720467
2142	1074	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	26.169926243636446
2152	1126	ak9_gfr	NA	rif_treated	1	t	16_00	45	23.8	homemade	25'C	7-10	30_07_20	26.2060171979575
164	610	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	17.83265844235443
198	624	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	17.977485122863865
250	616	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.203062015824322
244	606	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.17854814589284
242	590	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.172132797588432
222	572	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.088294284212964
276	558	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.323336318909455
324	578	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.52776489681121
300	606	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.42028278284207
298	614	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.410540387157706
342	612	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.600751998708997
388	600	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.800983259892984
410	554	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	18.90232727950605
444	568	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.047153960015486
598	592	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	19.708597164245905
784	536	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	20.519264604666212
1428	492	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	23.30531251644558
1488	494	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	23.564036659228563
1600	496	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.047228679178687
1596	518	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.026912125964973
1604	542	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.058118598149193
1632	552	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.177599646882157
1638	516	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.208490357625223
1702	510	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.485590275983615
1762	504	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.745423434559918
1764	494	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.755443084192613
1792	492	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	24.876587656615555
1894	520	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	25.313008475782176
1940	488	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	25.51601227644946
2000	528	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	25.769468594214178
2098	504	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	26.195831256255282
2114	490	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	26.26683907302194
2144	498	ak9_gfr	NA	rif_treated	4	q	16_00	45	23.8	homemade	25'C	7-10	30_07_20	26.39523075559428
152	420	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.02277922285569
150	378	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.0227314785343
186	368	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.191213231320866
220	358	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.35045645791912
186	412	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.18158479317456
196	394	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.231716330630537
206	394	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.277908961572113
228	414	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.375156186849807
234	408	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.404184734252887
238	396	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.425287724305782
264	362	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.552828721503303
262	384	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.538775976241833
276	392	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.601695034442532
296	392	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.694080296325687
300	402	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.71036906730543
318	402	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.79351580300027
310	374	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.76268888615829
306	364	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.74640011517855
358	374	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	19.98441351467786
484	340	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	20.573880821291155
810	324	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	22.083261840221592
914	296	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	22.569792389925283
972	314	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	22.833770742872034
998	328	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	22.950807989364492
1078	314	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	23.32341263085275
1132	332	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	23.56891393142287
1358	262	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	24.628185360480728
1406	322	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	24.836780300618972
1556	316	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	25.530982733580764
1584	314	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	25.66075975649656
1638	300	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	25.91326355753672
1946	300	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	27.3359965905373
2064	300	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	27.88106963564791
2118	268	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	28.137512343202467
2222	316	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	28.60741195428981
2280	280	ak9_gfr	NA	rif_treated	4	gg	18_00	58	24.7	homemade	25'C	7-10	03_08_20	28.883207026779754

