X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
310	570	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.179605727402603
366	566	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.471444050275295
376	592	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.52081743904201
426	614	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.778764017528935
422	576	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.761846124211438
456	560	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.94042595951651
504	552	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.191042072651975
508	596	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.20734443071095
560	612	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.476314686100455
712	542	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	19.27451469573174
726	576	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	19.343883654108545
894	584	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	20.21734683853155
1802	534	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	24.947772605422415
2042	562	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	26.19387710483651
2116	538	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	26.581440486700807
2186	550	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	26.944494373725863
2188	536	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	26.95633876430647
2194	514	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	26.989820151853223
2226	514	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	27.156350418158176
2260	544	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	27.3302111498146
2266	532	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	27.36266664526382
2284	542	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	27.455314027962824
2330	558	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	27.69305985842015
2350	508	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	27.802270735348415
2404	572	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	28.076724850313823
2430	528	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	28.216544616915744
2432	514	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	28.22838900749635
2466	514	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	28.40532741544537
2464	524	re10_gfr	NA	rif_treated	4	a	12_20	57	25.8	homemade	25'C	7-10	29_07_20	28.393893381703776
128	592	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.500360531841984
134	544	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.53494484131154
164	540	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.68227729587396
186	588	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.784798478121427
200	570	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.855302934446616
202	540	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.868349034632775
230	534	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.006105096505358
240	554	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.05290277636195
264	564	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.169337485669658
268	530	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.19261054870121
280	536	re10_gfr	NA	rif_treated	4	m	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.250719474995805
